ID,Text,Translation,Old Text,Old Translation,Status,Gender,Critical Warnings,Non-critical Warnings,Platform Warnings,Location,Context,Section,Actor,Voice Actor,Revision,Old Revision,Edit Distance
12936,Woantoma,Woantoma,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00035),,,,,1005383,,
12937,Sylmacaink,Sylmacaink,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00036),,,,,1005383,,
12938,Slanasco,Slanasco,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00037),,,,,1005383,,
12939,Makei,Makei,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00038),,,,,1005383,,
12940,Ello,Ello,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00039),,,,,1005383,,
12941,Cixin,Cixin,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00040),,,,,1005383,,
12942,Olnus,Olnus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00041),,,,,1005383,,
12943,Skerrit,Skerrit,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00042),,,,,1005383,,
12944,Anguirus,Anguirus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00043),,,,,1005383,,
12945,Gobul,Gobul,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00044),,,,,1005383,,
12946,Aurelion,Aurelion,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00045),,,,,1005383,,
12947,Behemoth,Behemoth,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00046),,,,,1005383,,
12948,Astorius,Astorius,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00047),,,,,1005383,,
12949,Archeon,Archeon,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00048),,,,,1005383,,
12950,Nork,Nork,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00049),,,,,1005383,,
12951,Steen,Steen,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00050),,,,,1005383,,
12952,Strid,Strid,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00051),,,,,1005383,,
12953,Douglasjay,Douglasjay,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00052),,,,,1005383,,
12954,Macgyver,Macgyver,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00053),,,,,1005383,,
12955,Bacigalupi,Bacigalupi,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00054),,,,,1005383,,
12956,Okorafor,Okorafor,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00055),,,,,1005383,,
12957,Nebuchadnezzar,Nebuchadnezzar,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00056),,,,,1005383,,
12958,Narkath,Narkath,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00057),,,,,1005383,,
12959,Lxyn,Lxyn,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00058),,,,,1005383,,
12960,Bequin,Bequin,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00059),,,,,1005383,,
12961,Tsovinar,Tsovinar,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00060),,,,,1005383,,
12962,Tuisto,Tuisto,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00062),,,,,1005383,,
12963,Trebaruna,Trebaruna,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00063),,,,,1005383,,
12964,Dzahui,Dzahui,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00064),,,,,1005383,,
12965,Pombero,Pombero,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00065),,,,,1005383,,
12966,Kuu,Kuu,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00066),,,,,1005383,,
12967,Barastyr,Barastyr,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00067),,,,,1005383,,
12968,Marduk,Marduk,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00068),,,,,1005383,,
12969,Tejaji,Tejaji,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00069),,,,,1005383,,
12970,Msoura,Msoura,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00070),,,,,1005383,,
12971,Amadioha,Amadioha,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00071),,,,,1005383,,
12972,Hyang,Hyang,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00072),,,,,1005383,,
12973,Gadao,Gadao,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00073),,,,,1005383,,
12974,Ebisu,Ebisu,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00074),,,,,1005383,,
12975,Ehecatl,Ehecatl,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00075),,,,,1005383,,
12976,Geshtinanna,Geshtinanna,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00076),,,,,1005383,,
12977,Ohrmazd,Ohrmazd,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00077),,,,,1005383,,
12978,Stribog,Stribog,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00078),,,,,1005383,,
12979,Achuhucanac,Achuhucanac,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00079),,,,,1005383,,
12980,Perendi,Perendi,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00080),,,,,1005383,,
12981,Nuada,Nuada,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00081),,,,,1005383,,
12982,Eostre,Eostre,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00082),,,,,1005383,,
12983,Saranyu,Saranyu,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00083),,,,,1005383,,
12984,Paimbar,Paimbar,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00084),,,,,1005383,,
12985,Horagalles,Horagalles,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00085),,,,,1005383,,
12986,Ziweidadi,Ziweidadi,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00086),,,,,1005383,,
12987,Hwanung,Hwanung,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00087),,,,,1005383,,
12988,Torngarsuk,Torngarsuk,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00088),,,,,1005383,,
12989,Meztli,Meztli,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00089),,,,,1005383,,
12990,Shango,Shango,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00090),,,,,1005383,,
12991,Eureka,Eureka,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00095),,,,,1005383,,
12992,Lick,Lick,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00096),,,,,1005383,,
12993,Ninkasi,Ninkasi,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00097),,,,,1005383,,
12994,Lucianotesi,Lucianotesi,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00098),,,,,1005383,,
12995,Huitzilopochtli,Huitzilopochtli,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00099),,,,,1005383,,
12996,Geographos,Geographos,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00100),,,,,1005383,,
12997,Cerberus,Cerberus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00101),,,,,1005383,,
12998,Bacchus,Bacchus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00102),,,,,1005383,,
12999,Orpheus,Orpheus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00103),,,,,1005383,,
13000,Khufu,Khufu,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00104),,,,,1005383,,
13001,Cruithne,Cruithne,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00105),,,,,1005383,,
13002,Asclepius,Asclepius,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00106),,,,,1005383,,
13003,Castalia,Castalia,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00107),,,,,1005383,,
13004,Minos,Minos,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00108),,,,,1005383,,
13005,Tomaiyowit,Tomaiyowit,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00109),,,,,1005383,,
13006,Icarus,Icarus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00110),,,,,1005383,,
13007,Toro,Toro,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00111),,,,,1005383,,
13008,Beowulf,Beowulf,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00112),,,,,1005383,,
13009,Epona,Epona,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00113),,,,,1005383,,
13010,Orthos,Orthos,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00114),,,,,1005383,,
13011,Camillo,Camillo,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00115),,,,,1005383,,
13012,Syrinx,Syrinx,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00116),,,,,1005383,,
13013,Eger,Eger,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00117),,,,,1005383,,
13014,Ubasti,Ubasti,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00118),,,,,1005383,,
13015,Jason,Jason,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00120),,,,,1005383,,
13016,Cadmus,Cadmus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00121),,,,,1005383,,
13017,Itokawa,Itokawa,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00122),,,,,1005383,,
13018,Heracles,Heracles,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00123),,,,,1005383,,
13019,Poseidon,Poseidon,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00124),,,,,1005383,,
13020,Pan,Pan,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00125),,,,,1005383,,
13021,Nereus,Nereus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00126),,,,,1005383,,
13022,Morpheus,Morpheus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00127),,,,,1005383,,
13023,Hanoi,Hanoi,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00128),,,,,1005383,,
13024,Trajanus,Trajanus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00129),,,,,1005383,,
13025,Baghdad,Baghdad,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00130),,,,,1005383,,
13026,Vitormeen,Victormeen,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00131),,,,,1005383,,
13027,Migliorini,Migliorini,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00132),,,,,1005383,,
13028,Schwob,Schwob,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00133),,,,,1005383,,
13029,Renzia,Renzia,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00134),,,,,1005383,,
13030,Schorria,Schorria,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00135),,,,,1005383,,
13031,Zomba,Zomba,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00136),,,,,1005383,,
13032,Ahau,Ahau,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00137),,,,,1005383,,
13033,Golevka,Golevka,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00138),,,,,1005383,,
13034,Ingeborg,Ingeborg,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00139),,,,,1005383,,
13035,Trogrlic,Trogrlic,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00140),,,,,1005383,,
13036,Nemo,Nemo,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00141),,,,,1005383,,
13037,MacCready,MacCready,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00142),,,,,1005383,,
13038,Carlwirtz,Carlwirtz,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00143),,,,,1005383,,
13039,Berkhey,Berkhey,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00144),,,,,1005383,,
13040,Eros,Eros,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00146),,,,,1005383,,
13041,Ul,Ul,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00147),,,,,1005383,,
13042,Krok,Krok,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00148),,,,,1005383,,
13043,Yuliya,Yuliya,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00149),,,,,1005383,,
13044,Mjolnir,Mjolnir,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00150),,,,,1005383,,
13045,<name> <a><b><c>,<name> <a><b><c>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00208),,,,,1005383,,
13046,Building is shrouded in rubble,Budynek zasypany rumoszem,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Building.lua(00001),,,,,1005383,,
13047,<left_click> Refab,<left_click> Prefabrykacja,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Building.lua(00063),,,,,1005383,,
13048,<left_click> Cancel Refab,<left_click> Anuluj prefabrykację,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Building.lua(00063),,,,,1005383,,
13049,<ButtonY> Refab,<ButtonY> Prefabrykacja,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Building.lua(00064),,,,,1005383,,
13050,<ButtonY> Cancel Refab,<ButtonY> Anuluj prefabrykację,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Building.lua(00064),,,,,1005383,,
13051,Cannot link with self,Nie można połączyć ze sobą,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/DroneHubExtender.lua(00062),,,,,1005383,,
13052,Uplink is out of range,Łącze poza zasięgiem,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/DroneHubExtender.lua(00065),,,,,1005383,,
13053,Link would cause a loop,Połączenie utworzyłoby pętlę,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/DroneHubExtender.lua(00068),,,,,1005383,,
13054,Connect to extender,Połączenie ze wzmacniaczem,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/DroneHubExtender.lua(00072),,,,,1005383,,
13055,Connect to hub,Połączenie z gniazdem,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/DroneHubExtender.lua(00074),,,,,1005383,,
13768,The drone hub extender is not connected to an uplink,Wzmacniacz gniazda dronów nie jest podpięty do łącza.,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/DroneHubExtender.lua(00203),,,,,1007006,,
13769,The uplink is out of range,Łącze poza zasięgiem.,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/DroneHubExtender.lua(00204),,,,,1007006,,
13835,Sending to <location>,Wysyłanie do: <location>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Elevator.lua(00941),,,,,1008841,,
13928,Requested from <location>,<location> żąda,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Elevator.lua(00949),,,,,1009104,,
13837,Resources delivered at the Elevator are instantly transported to the other side.<newline>,Zasoby dostarczone do windy są natychmiastowo transportowane na drugą stronę.<newline>,Resources delivered at the Elevator and anything available are instantly transported to the other side.<newline>,"Zasoby dostarczone do windy i wszystko, co jest dostępne, zostaje natychmiastowo przetransportowane na drugą stronę.<newline>",OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Elevator.lua(00958),,,,,1009104,,
13929,Resources delivered at the other side of Elevator and anything available are instantly transported to this side.<newline>,"Zasoby dostarczone do windy po drugiej stronie i wszystko, co jest dostępne, zostaje natychmiastowo przetransportowane na tę stronę.<newline>",,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Elevator.lua(00969),,,,,1009047,,
13937,<red>Below minimum</red> : The minimum for the <location> is higher than the requested amount. Not everything will be transported.<newline>,<red>Poniżej minimum</red>: minimum dla tego miejsca (<location>) jest większe niż żądana ilość. Nie wszystko zostanie przetransportowane.<newline>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Elevator.lua(00971),,,,,1009171,,
13936,<red>Not enough</red> : More is required to fulfil the request.<newline>,<red>Za mało</red>: spełnienie żądania wymaga większej ilości.<newline>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Elevator.lua(00972),,,,,1009171,,
13938,<yellow>Limited</yellow> : There is enough for this Elevator but not for all active requests on the <location>.<newline>,"<yellow>Ograniczone</yellow>: zasobów jest dosyć dla tej windy, ale za mało, by wystarczyło na wszystkie aktywne żądania w tym miejscu (<location>).<newline>",,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Elevator.lua(00973),,,,,1009171,,
13796,Cannot provide the minimum requested amount,Nie można dostarczyć minimalnej wymaganej ilości.,Rocket is waiting for maintenance,Rakieta czeka na konserwację.,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/Elevator.lua(00984),,,,,1008841,,
13056,Carries supplies and vehicles from Mars.,Przewozi zapasy i pojazdy z Marsa.,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00038),,,,,1005383,,
13057,<image UI/Icons/pin_rocket_outgoing.tga 1500>Travelling to <Destination>.<newline>Flight progress: <em><ArrivalTimePercent></em>%.,<image UI/Icons/pin_rocket_outgoing.tga 1500>Leci na <Destination>.<newline>Postęp przelotu – <em><ArrivalTimePercent></em>%.,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00149),,,,,1005383,,
13058,none,brak,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00294),,,,,1005383,,
13059,Destination<right><where>,Cel:<right><where>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00295),,,,,1005383,,
13697,Requested cargo<right><current>/<capacity> kg,Żądany ładunek:<right><current>/<capacity> kg,Requested cargo<right><current>/<capacity>,Żądany ładunek:<right><current>/<capacity>,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00300),,,,,1010373,,
13739,<green>Waiting for excess fuel to unload</green>,<green>Oczekiwanie na rozładowanie nadmiaru paliwa.</green>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00306),,,,,1006693,,
13060,<green>Loading requested resources</green>,<green>Ładowanie żądanych zasobów</green>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00310),,,,,1005383,,
13061,<green>Waiting for destination</green>,<green>Czeka na wskazanie celu</green>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00316),,,,,1005383,,
13951,Unknown launch issue,Nieznany problem ze startem,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00343),,,,,1009902,,
13770,<red>Not enough</red> : more is required to depart.<newline>,"<red>Za mało</red>: potrzeba więcej zasobów, aby wyruszyć.<newline>",<red>Not enough</red> means more are required to depart.<newline>,"„<red>Za mało</red>” oznacza, że potrzeba więcej zasobów, aby wyruszyć.<newline>",OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00763),,,,,1009104,,
13771,<yellow>Limited</yellow> : there is enough for this Asteroid Lander but not for all active requests on this map.<newline>,"<yellow>Ograniczone</yellow>: zasobów jest dosyć dla tego lądownika asteroidowego, ale za mało, by wystarczyło na wszystkie aktywne żądania na tej mapie.<newline>",<yellow>Limited</yellow> means there are enough for this payload request but not for all active requests on this map.<newline>,"„<yellow>Ograniczone</yellow>” oznacza, że zasobów jest dosyć, by spełnić wymogi tego żądania, ale za mało, by wystarczyło na wszystkie aktywne żądania na tej mapie.<newline>",OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00764),,,,,1009104,,
13772,<green>Ready</green> : there is enough to depart.<newline>,"<green>Gotowe</green>: zasobów jest dosyć, aby wyruszyć.<newline>",<green>Ready</green> means there are enough to depart.<newline>,"„<green>Gotowe</green>” oznacza, że zasobów jest dosyć, aby wyruszyć.<newline>",OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00765),,,,,1009104,,
13853,Payload,Ładunek,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00778),,,,,1008841,,
13854,Requested Payload,Żądany ładunek,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00778),,,,,1008841,,
13836, (auto mode), (tryb auto),,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/LanderRocket.lua(00780),,,,,1008841,,
13698,Expected exploitation resources,Oczekiwane zasoby z eksploatacji,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/MicroGExtractor.lua(00005),,,,,1006192,,
13062,<red>Habitat is full. No births can take place.</red>,<red>Habitat jest pełny. Narodziny niemożliwe.</red>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/MicroGHabitat.lua(00029),,,,,1005383,,
13741,Current status: <em>Births are forbidden (Habitat is full)</em>,Aktualny stan: <em>Narodziny zakazane (habitat pełny)</em>,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/Buildings/MicroGHabitat.lua(00039),,,,,1006693,,
